Project,Run,Classifier,Sampling,FeatureSelection,ReleaseIndex,Precision,Recall,F-Measure,AUC,Kappa,NPofB20,SelectedFeatures
OPENJPA,1,RandomForest,NoSampling,InfoGain,6,0.9819,0.2948,0.4534,0.9064,0.4451,0.7703,LOC;Cyclomatic;CognitiveComplexity;NumStatements;NestingDepth;NumLocalVars;Global_NAuth;Global_LOC_Added;Global_MAX_LOC_Added;Global_AVG_Churn;Global_NR;Global_AVG_LOC_Added;Global_Churn;Global_MAX_Churn;Global_AVG_LOC_Deleted;Global_MAX_LOC_Deleted;Global_LOC_Deleted;LOC_Added;AVG_LOC_Added;MAX_LOC_Added;MAX_Churn;Churn;AVG_Churn;NAuth;NR;MAX_LOC_Deleted;AVG_LOC_Deleted;LOC_Deleted;CodeSmells;NumParams
OPENJPA,1,RandomForest,NoSampling,InfoGain,7,0.7000,0.0676,0.1233,0.5627,0.0948,0.1792,LOC;Global_NAuth;Global_LOC_Added;Cyclomatic;Global_MAX_LOC_Added;CognitiveComplexity;NumStatements;NestingDepth;Global_AVG_Churn;Global_AVG_LOC_Added;NumLocalVars;Global_AVG_LOC_Deleted;Global_Churn;Global_NR;Global_MAX_Churn;Global_MAX_LOC_Deleted;Global_LOC_Deleted;MAX_LOC_Added;AVG_LOC_Added;LOC_Added;Churn;AVG_Churn;MAX_Churn;NAuth;NR;AVG_LOC_Deleted;MAX_LOC_Deleted;LOC_Deleted;CodeSmells;NumParams
OPENJPA,1,RandomForest,NoSampling,InfoGain,8,0.8417,0.1076,0.1909,0.8794,0.1558,0.3933,LOC;Global_NAuth;Global_AVG_LOC_Added;Global_LOC_Added;Global_AVG_Churn;NumStatements;Global_MAX_LOC_Added;NestingDepth;Global_AVG_LOC_Deleted;Global_Churn;NumLocalVars;Cyclomatic;Global_NR;CognitiveComplexity;Global_MAX_Churn;Global_MAX_LOC_Deleted;Global_LOC_Deleted;AVG_LOC_Added;MAX_LOC_Added;LOC_Added;AVG_Churn;MAX_Churn;Churn;NAuth;NR;AVG_LOC_Deleted;LOC_Deleted;MAX_LOC_Deleted;CodeSmells;NumParams
OPENJPA,1,RandomForest,NoSampling,InfoGain,9,0.7976,0.1569,0.2623,0.8694,0.2184,0.4117,LOC;Global_LOC_Added;Global_AVG_LOC_Deleted;Global_AVG_LOC_Added;Global_NAuth;Global_AVG_Churn;NumStatements;Global_MAX_LOC_Added;Global_Churn;Global_MAX_Churn;NestingDepth;Global_NR;NumLocalVars;Cyclomatic;CognitiveComplexity;Global_LOC_Deleted;Global_MAX_LOC_Deleted;AVG_LOC_Added;MAX_LOC_Added;LOC_Added;AVG_Churn;MAX_Churn;Churn;NAuth;NR;AVG_LOC_Deleted;LOC_Deleted;MAX_LOC_Deleted;CodeSmells;NumParams
OPENJPA,1,RandomForest,NoSampling,InfoGain,10,0.8551,0.1579,0.2666,0.8105,0.2206,0.3588,LOC;Global_AVG_LOC_Deleted;Global_LOC_Added;Global_NAuth;NumStatements;Global_AVG_LOC_Added;Global_Churn;Global_AVG_Churn;Global_MAX_LOC_Added;NestingDepth;NumLocalVars;Global_MAX_Churn;Global_NR;Global_LOC_Deleted;Cyclomatic;CognitiveComplexity;Global_MAX_LOC_Deleted;LOC_Added;MAX_LOC_Added;AVG_LOC_Added;AVG_Churn;MAX_Churn;Churn;NAuth;MAX_LOC_Deleted;NR;AVG_LOC_Deleted;LOC_Deleted;NumParams;CodeSmells
OPENJPA,1,RandomForest,NoSampling,InfoGain,11,0.9163,0.2116,0.3438,0.8271,0.2907,0.3810,LOC;Global_AVG_LOC_Deleted;Global_AVG_Churn;Global_LOC_Added;NumStatements;Global_Churn;Global_AVG_LOC_Added;Global_NAuth;Global_MAX_LOC_Added;Global_MAX_Churn;Global_LOC_Deleted;Global_NR;NestingDepth;NumLocalVars;Global_MAX_LOC_Deleted;CognitiveComplexity;Cyclomatic;AVG_LOC_Added;LOC_Added;MAX_LOC_Added;AVG_Churn;MAX_Churn;Churn;NAuth;NR;AVG_LOC_Deleted;LOC_Deleted;MAX_LOC_Deleted;NumParams;CodeSmells
OPENJPA,1,RandomForest,NoSampling,InfoGain,12,0.8661,0.2721,0.4140,0.8147,0.3519,0.3651,LOC;Global_AVG_LOC_Deleted;Global_LOC_Added;Global_AVG_Churn;NumStatements;Global_MAX_Churn;Global_AVG_LOC_Added;Global_Churn;Global_MAX_LOC_Added;Global_NAuth;Global_LOC_Deleted;Global_MAX_LOC_Deleted;Global_NR;NestingDepth;NumLocalVars;CognitiveComplexity;Cyclomatic;AVG_LOC_Added;LOC_Added;MAX_LOC_Added;MAX_Churn;Churn;AVG_Churn;NAuth;NR;AVG_LOC_Deleted;MAX_LOC_Deleted;LOC_Deleted;NumParams;ReturnTypeComplexity;CodeSmells
OPENJPA,1,RandomForest,NoSampling,InfoGain,13,0.8685,0.3163,0.4637,0.8081,0.3986,0.3857,LOC;Global_AVG_LOC_Deleted;Global_AVG_LOC_Added;Global_AVG_Churn;Global_MAX_Churn;Global_NAuth;Global_MAX_LOC_Added;Global_LOC_Added;Global_Churn;NumStatements;Global_MAX_LOC_Deleted;Global_LOC_Deleted;Global_NR;NumLocalVars;NestingDepth;CognitiveComplexity;Cyclomatic;AVG_LOC_Added;LOC_Added;MAX_LOC_Added;AVG_LOC_Deleted;AVG_Churn;Churn;MAX_Churn;MAX_LOC_Deleted;NAuth;LOC_Deleted;NR;NumParams;ReturnTypeComplexity;CodeSmells
OPENJPA,1,RandomForest,NoSampling,InfoGain,14,0.8948,0.3869,0.5402,0.8271,0.4775,0.4232,Global_AVG_Churn;Global_AVG_LOC_Added;LOC;Global_AVG_LOC_Deleted;Global_Churn;Global_NAuth;Global_MAX_Churn;Global_MAX_LOC_Added;Global_LOC_Added;Global_LOC_Deleted;NumStatements;Global_MAX_LOC_Deleted;Global_NR;NumLocalVars;NestingDepth;CognitiveComplexity;Cyclomatic;AVG_LOC_Added;LOC_Added;AVG_Churn;MAX_LOC_Added;AVG_LOC_Deleted;Churn;MAX_Churn;NAuth;MAX_LOC_Deleted;NR;LOC_Deleted;NumParams;ReturnTypeComplexity;CodeSmells
OPENJPA,1,RandomForest,SMOTE,NoSelection,2,0.7797,0.2130,0.3345,0.7769,0.3305,0.5046,LOC;NumStatements;NumParams;NumLocalVars;Cyclomatic;CognitiveComplexity;NestingDepth;ReturnTypeComplexity;CodeSmells;NR;NAuth;LOC_Added;MAX_LOC_Added;AVG_LOC_Added;LOC_Deleted;MAX_LOC_Deleted;AVG_LOC_Deleted;Churn;MAX_Churn;AVG_Churn;Global_NR;Global_NAuth;Global_LOC_Added;Global_MAX_LOC_Added;Global_AVG_LOC_Added;Global_LOC_Deleted;Global_MAX_LOC_Deleted;Global_AVG_LOC_Deleted;Global_Churn;Global_MAX_Churn;Global_AVG_Churn
OPENJPA,1,RandomForest,SMOTE,NoSelection,3,0.5126,0.2629,0.3476,0.7925,0.3409,0.5819,LOC;NumStatements;NumParams;NumLocalVars;Cyclomatic;CognitiveComplexity;NestingDepth;ReturnTypeComplexity;CodeSmells;NR;NAuth;LOC_Added;MAX_LOC_Added;AVG_LOC_Added;LOC_Deleted;MAX_LOC_Deleted;AVG_LOC_Deleted;Churn;MAX_Churn;AVG_Churn;Global_NR;Global_NAuth;Global_LOC_Added;Global_MAX_LOC_Added;Global_AVG_LOC_Added;Global_LOC_Deleted;Global_MAX_LOC_Deleted;Global_AVG_LOC_Deleted;Global_Churn;Global_MAX_Churn;Global_AVG_Churn
OPENJPA,1,RandomForest,SMOTE,NoSelection,4,0.4118,0.2301,0.2953,0.7041,0.2837,0.4521,LOC;NumStatements;NumParams;NumLocalVars;Cyclomatic;CognitiveComplexity;NestingDepth;ReturnTypeComplexity;CodeSmells;NR;NAuth;LOC_Added;MAX_LOC_Added;AVG_LOC_Added;LOC_Deleted;MAX_LOC_Deleted;AVG_LOC_Deleted;Churn;MAX_Churn;AVG_Churn;Global_NR;Global_NAuth;Global_LOC_Added;Global_MAX_LOC_Added;Global_AVG_LOC_Added;Global_LOC_Deleted;Global_MAX_LOC_Deleted;Global_AVG_LOC_Deleted;Global_Churn;Global_MAX_Churn;Global_AVG_Churn
OPENJPA,1,RandomForest,SMOTE,NoSelection,5,0.5138,0.4017,0.4509,0.8459,0.4371,0.6868,LOC;NumStatements;NumParams;NumLocalVars;Cyclomatic;CognitiveComplexity;NestingDepth;ReturnTypeComplexity;CodeSmells;NR;NAuth;LOC_Added;MAX_LOC_Added;AVG_LOC_Added;LOC_Deleted;MAX_LOC_Deleted;AVG_LOC_Deleted;Churn;MAX_Churn;AVG_Churn;Global_NR;Global_NAuth;Global_LOC_Added;Global_MAX_LOC_Added;Global_AVG_LOC_Added;Global_LOC_Deleted;Global_MAX_LOC_Deleted;Global_AVG_LOC_Deleted;Global_Churn;Global_MAX_Churn;Global_AVG_Churn
OPENJPA,1,RandomForest,SMOTE,NoSelection,6,0.5265,0.4846,0.5047,0.8746,0.4888,0.7269,LOC;NumStatements;NumParams;NumLocalVars;Cyclomatic;CognitiveComplexity;NestingDepth;ReturnTypeComplexity;CodeSmells;NR;NAuth;LOC_Added;MAX_LOC_Added;AVG_LOC_Added;LOC_Deleted;MAX_LOC_Deleted;AVG_LOC_Deleted;Churn;MAX_Churn;AVG_Churn;Global_NR;Global_NAuth;Global_LOC_Added;Global_MAX_LOC_Added;Global_AVG_LOC_Added;Global_LOC_Deleted;Global_MAX_LOC_Deleted;Global_AVG_LOC_Deleted;Global_Churn;Global_MAX_Churn;Global_AVG_Churn
OPENJPA,1,RandomForest,SMOTE,NoSelection,7,0.4888,0.1089,0.1782,0.5500,0.1208,0.2998,LOC;NumStatements;NumParams;NumLocalVars;Cyclomatic;CognitiveComplexity;NestingDepth;ReturnTypeComplexity;CodeSmells;NR;NAuth;LOC_Added;MAX_LOC_Added;AVG_LOC_Added;LOC_Deleted;MAX_LOC_Deleted;AVG_LOC_Deleted;Churn;MAX_Churn;AVG_Churn;Global_NR;Global_NAuth;Global_LOC_Added;Global_MAX_LOC_Added;Global_AVG_LOC_Added;Global_LOC_Deleted;Global_MAX_LOC_Deleted;Global_AVG_LOC_Deleted;Global_Churn;Global_MAX_Churn;Global_AVG_Churn
