Version,ReleaseIndex,ReleaseData,File,Class,Signature,LOC,NumStatements,NumParams,NumLocalVars,Cyclomatic,CognitiveComplexity,NestingDepth,ReturnTypeComplexity,CodeSmells,NR,NAuth,LOC_Added,MAX_LOC_Added,AVG_LOC_Added,LOC_Deleted,MAX_LOC_Deleted,AVG_LOC_Deleted,Churn,MAX_Churn,AVG_Churn,Global_NR,Global_NAuth,Global_LOC_Added,Global_MAX_LOC_Added,Global_AVG_LOC_Added,Global_LOC_Deleted,Global_MAX_LOC_Deleted,Global_AVG_LOC_Deleted,Global_Churn,Global_MAX_Churn,Global_AVG_Churn,isBuggy
4.2.1,5,2013-03-27,BookieShell.java,BookieShell,org.apache.bookkeeper.bookie.BookieShell.printLastLogMark(),4,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,4,5,5,5,9,9,9,True
4.2.1,5,2013-03-27,PubSubProtocol.SubscriptionEventResponse.Builder.java,PubSubProtocol.SubscriptionEventResponse.Builder,"'org.apache.hedwig.protocol.PubSubProtocol.SubscriptionEventResponse.Builder.mergeFrom(com.google.protobuf.CodedInputStream, com.google.protobuf.ExtensionRegistryLite)'",33,2,2,4,6,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,9,9,3,3,3,12,12,12,False
4.2.1,5,2013-03-27,LedgerHandle.java,LedgerHandle,org.apache.bookkeeper.client.LedgerHandle.sendAddSuccessCallbacks(),13,2,0,1,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,159,156,79.5,3,2,1.5,162,157,81,False
4.2.1,5,2013-03-27,PubSubProtocol.SubscribeRequest.Builder.java,PubSubProtocol.SubscribeRequest.Builder,org.apache.hedwig.protocol.PubSubProtocol.SubscribeRequest.Builder.clearSubscriberId(),6,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,2,2,2,5,5,5,False
4.2.1,5,2013-03-27,OrderedSafeExecutor.java,OrderedSafeExecutor,org.apache.bookkeeper.util.OrderedSafeExecutor.chooseThread(),7,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,98,98,98,0,0,0,98,98,98,False
4.2.1,5,2013-03-27,ZkTopicManager.java,ZkTopicManager,"'org.apache.hedwig.server.topics.ZkTopicManager.operationFailed(Object, PubSubException)'",4,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,7,7,7,8,8,8,False
4.2.1,5,2013-03-27,LedgerLayout.java,LedgerLayout,org.apache.bookkeeper.meta.LedgerLayout.getLayoutFormatVersion(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,9,9,0,0,0,9,9,9,False
4.2.1,5,2013-03-27,DataFormats.LedgerMetadataFormat.Segment.Builder.java,DataFormats.LedgerMetadataFormat.Segment.Builder,org.apache.bookkeeper.proto.DataFormats.LedgerMetadataFormat.Segment.Builder.getFirstEntryId(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.2.1,5,2013-03-27,PendingAddOp.java,PendingAddOp,"'org.apache.bookkeeper.client.PendingAddOp.writeComplete(int, long, long, InetSocketAddress, Object)'",30,4,5,1,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,3,29,9,2.636364,22,5,2,51,10,4.636364,True
4.2.1,5,2013-03-27,AbstractSubscriptionManager.java,AbstractSubscriptionManager,"'org.apache.hedwig.server.subscriptions.AbstractSubscriptionManager.updateSubscriptionPreferences(ByteString, ByteString, InMemorySubscriptionState, Callback, Object)'",39,3,5,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,52,28,10.4,6,3,1.2,58,28,11.6,False
