Version,ReleaseIndex,ReleaseData,File,Class,Signature,LOC,NumStatements,NumParams,NumLocalVars,Cyclomatic,CognitiveComplexity,NestingDepth,ReturnTypeComplexity,CodeSmells,NR,NAuth,LOC_Added,MAX_LOC_Added,AVG_LOC_Added,LOC_Deleted,MAX_LOC_Deleted,AVG_LOC_Deleted,Churn,MAX_Churn,AVG_Churn,Global_NR,Global_NAuth,Global_LOC_Added,Global_MAX_LOC_Added,Global_AVG_LOC_Added,Global_LOC_Deleted,Global_MAX_LOC_Deleted,Global_AVG_LOC_Deleted,Global_Churn,Global_MAX_Churn,Global_AVG_Churn,isBuggy
4.1.1,3,2013-01-16,MsMetadataManagerFactory.MsSubscriptionDataManagerImpl.java,MsMetadataManagerFactory.MsSubscriptionDataManagerImpl,org.apache.hedwig.server.meta.MsMetadataManagerFactory.MsSubscriptionDataManagerImpl.isPartialUpdateSupported(),5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,PubSubProtocol.ResponseBodyOrBuilder.java,PubSubProtocol.ResponseBodyOrBuilder,org.apache.hedwig.protocol.PubSubProtocol.ResponseBodyOrBuilder.getSubscriptionEventOrBuilder(),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.1.1,3,2013-01-16,DataFormats.CookieFormat.java,DataFormats.CookieFormat,org.apache.bookkeeper.proto.DataFormats.CookieFormat.internalGetFieldAccessorTable(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,ServerConfiguration.java,ServerConfiguration,org.apache.hedwig.server.common.ServerConfiguration.isInterRegionSSLEnabled(),3,1,0,0,1,0,0,1,0,1,1,5,5,5,0,0,0,5,5,5,1,1,5,5,5,0,0,0,5,5,5,False
4.1.1,3,2013-01-16,ServerConfiguration.java,ServerConfiguration,org.apache.bookkeeper.conf.ServerConfiguration.getBookiePort(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,PubSubProtocol.PublishResponse.java,PubSubProtocol.PublishResponse,org.apache.hedwig.protocol.PubSubProtocol.PublishResponse.newBuilder(org.apache.hedwig.protocol.PubSubProtocol.PublishResponse),3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,PubSubProtocol.StartDeliveryRequest.java,PubSubProtocol.StartDeliveryRequest,org.apache.hedwig.protocol.PubSubProtocol.StartDeliveryRequest.parseFrom(com.google.protobuf.ByteString),3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.1.1,3,2013-01-16,DataFormats.CookieFormat.java,DataFormats.CookieFormat,org.apache.bookkeeper.proto.DataFormats.CookieFormat.getLedgerDirsBytes(),10,2,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,SafeAsyncZKCallback.StatCallback.java,SafeAsyncZKCallback.StatCallback,"'org.apache.hedwig.zookeeper.SafeAsyncZKCallback.StatCallback.safeProcessResult(int, String, Object, Stat)'",0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,PubSubProtocol.SubscriptionOptions.Builder.java,PubSubProtocol.SubscriptionOptions.Builder,org.apache.hedwig.protocol.PubSubProtocol.SubscriptionOptions.Builder.clear(),22,16,0,0,2,1,1,1,0,11,2,25,6,2.272727,11,5,1,36,10,3.272727,11,2,25,6,2.272727,11,5,1,36,10,3.272727,True
4.1.1,3,2013-01-16,HedwigAdmin.java,HedwigAdmin,"'org.apache.hedwig.admin.HedwigAdmin.operationFinished(Object, Versioned)'",7,1,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.1.1,3,2013-01-16,NettyHandlerMXBean.java,NettyHandlerMXBean,org.apache.hedwig.server.handlers.NettyHandlerMXBean.getNumSubscriptionChannels(),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,31,31,31,0,0,0,31,31,31,False
4.1.1,3,2013-01-16,LedgerMetadata.java,LedgerMetadata,org.apache.bookkeeper.client.LedgerMetadata.setState(LedgerMetadataFormat.State),3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4.1.1,3,2013-01-16,DataFormats.UnderreplicatedLedgerFormat.java,DataFormats.UnderreplicatedLedgerFormat,org.apache.bookkeeper.proto.DataFormats.UnderreplicatedLedgerFormat.newBuilder(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,SafeAsynBKCallback.AddCallback.java,SafeAsynBKCallback.AddCallback,"'org.apache.hedwig.zookeeper.SafeAsynBKCallback.AddCallback.safeAddComplete(int, LedgerHandle, long, Object)'",0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,False
