Version,ReleaseIndex,ReleaseData,File,Class,Signature,LOC,NumStatements,NumParams,NumLocalVars,Cyclomatic,CognitiveComplexity,NestingDepth,ReturnTypeComplexity,CodeSmells,MethodHistories,N-Authors,Churn,Stmt_Added,Stmt_Deleted,Total_MethodHistories,Total_N-Authors,Total_Churn,Total_Stmt_Added,Total_Stmt_Deleted,isBuggy
4.1.1,3,2013-01-16,PubSubProtocol.SubscriptionEventResponse.Builder.java,PubSubProtocol.SubscriptionEventResponse.Builder,org.apache.hedwig.protocol.PubSubProtocol.SubscriptionEventResponse.Builder.internalGetFieldAccessorTable(),3,1,0,0,1,0,0,1,0,1,1,2,1,1,1,1,2,1,1,False
4.1.1,3,2013-01-16,CallbackUtils.java,CallbackUtils,org.apache.hedwig.util.CallbackUtils.tick(),9,1,0,0,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,HierarchicalLedgerManager.java,HierarchicalLedgerManager,"org.apache.bookkeeper.meta.HierarchicalLedgerManager.processResult(int, String, Object, List)",10,3,4,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,PubSubProtocol.SubscriptionData.Builder.java,PubSubProtocol.SubscriptionData.Builder,org.apache.hedwig.protocol.PubSubProtocol.SubscriptionData.Builder.create(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,MSLedgerManagerFactory.SyncResult.java,MSLedgerManagerFactory.SyncResult,org.apache.bookkeeper.meta.MSLedgerManagerFactory.SyncResult.getResult(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,PubSubProtocol.StopDeliveryRequest.Builder.java,PubSubProtocol.StopDeliveryRequest.Builder,org.apache.hedwig.protocol.PubSubProtocol.StopDeliveryRequest.Builder.clone(),3,1,0,0,1,0,0,1,0,1,1,2,1,1,2,2,8,4,4,True
4.1.1,3,2013-01-16,DataFormats.CookieFormat.java,DataFormats.CookieFormat,org.apache.bookkeeper.proto.DataFormats.CookieFormat.newBuilder(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,DataFormats.UnderreplicatedLedgerFormat.Builder.java,DataFormats.UnderreplicatedLedgerFormat.Builder,org.apache.bookkeeper.proto.DataFormats.UnderreplicatedLedgerFormat.Builder.addAllReplica(java.lang.Iterable),6,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True
4.1.1,3,2013-01-16,PersistRequest.java,PersistRequest,org.apache.hedwig.server.persistence.PersistRequest.getMessage(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,HedwigHubClientFactory.java,HedwigHubClientFactory,org.apache.hedwig.server.regions.HedwigHubClientFactory.getDefaultServerHedwigSocketAddress(),3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
4.1.1,3,2013-01-16,AbstractBenchmark.java,AbstractBenchmark,"org.apache.hedwig.server.benchmark.AbstractBenchmark.runPhase(String, int)",10,3,2,1,2,1,1,1,0,2,1,4,2,2,6,2,28,12,16,True
4.1.1,3,2013-01-16,PubSubProtocol.SubscriptionOptions.java,PubSubProtocol.SubscriptionOptions,org.apache.hedwig.protocol.PubSubProtocol.SubscriptionOptions.parseDelimitedFrom(java.io.InputStream),8,2,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,False
