2026-01-22 23:06:01.396 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java (4275 chars)
2026-01-22 23:06:01.397 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java (9606 chars)
2026-01-22 23:06:01.400 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java (1579 chars)
2026-01-22 23:06:01.401 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java (4102 chars)
2026-01-22 23:06:01.403 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java (1308 chars)
2026-01-22 23:06:01.403 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/zookeeper/ZkUtils.java (3305 chars)
2026-01-22 23:06:01.404 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java (5446 chars)
2026-01-22 23:06:01.406 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java (1220 chars)
2026-01-22 23:06:01.407 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java (6676 chars)
2026-01-22 23:06:01.409 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java (10060 chars)
2026-01-22 23:06:01.412 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java (1080 chars)
2026-01-22 23:06:01.412 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java (3132 chars)
2026-01-22 23:06:01.413 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java (2382 chars)
2026-01-22 23:06:01.414 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java (21224 chars)
2026-01-22 23:06:01.422 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java (7939 chars)
2026-01-22 23:06:01.425 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java (6731 chars)
2026-01-22 23:06:01.427 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java (1007 chars)
2026-01-22 23:06:01.427 [main] DEBUG i.f.i.metrics.StaticAnalysisService - Analisi file: hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java (2558 chars)
